Win,Team,Player,Role,Kills,Deaths,Assists,KDA,CS,CSM,Golds,GPM,Vision Score,Total damage to Champion,DPM,K+A Per Minute,KP%,GD@15,CSD@15,XPD@15,LVLD@15,Total damage taken
1,DRX,BAO,ADC,1,1,6,7,373,10.4,15332,425,50,12295,341,0.19,0.538,294,2,-582,-1,13393
1,DRX,Becca,SUPPORT,0,3,11,3.7,39,1.1,8237,229,110,3014,84,0.31,0.846,-113,-1,201,0,14440
0,AF,Kiin,TOP,2,3,4,2,300,8.3,13848,384,41,9381,260,0.17,0.75,1075,-5,491,1,22650
0,AF,Dread,JUNGLE,4,3,1,1.7,236,6.5,12327,342,69,10042,279,0.14,0.625,558,-18,-647,-1,35265
0,AF,Fly,MID,0,3,5,1.7,288,8,13812,383,41,10559,293,0.14,0.625,1034,-15,213,0,15459
0,AF,Bang,ADC,1,1,1,2,367,10.2,14451,401,66,12178,338,0.06,0.25,-294,-2,582,1,9453
0,AF,Lehends,SUPPORT,1,3,1,0.7,59,1.6,7714,214,120,6398,178,0.06,0.25,113,1,-201,0,12833
1,AF,Kiin,TOP,2,0,13,18,237,7.9,10944,365,36,7664,256,0.5,0.789,859,12,398,0,15624
1,AF,Dread,JUNGLE,5,0,7,14.4,220,7.3,12453,416,49,10098,337,0.4,0.632,576,-3,37,0,37631
1,AF,Fly,MID,6,1,10,16,268,8.9,12677,423,44,13484,450,0.53,0.842,797,9,623,1,9447
1,AF,Bang,ADC,6,1,10,16,249,8.3,13431,448,46,16063,536,0.53,0.842,974,18,257,0,17972
1,AF,Lehends,SUPPORT,0,0,18,21.6,46,1.5,8545,285,89,11856,396,0.6,0.947,867,-15,721,1,6311
0,DRX,kingen,TOP,0,2,1,0.5,180,6,7813,261,17,9247,309,0.03,0.5,-859,-12,-398,0,10209
0,DRX,Pyosik,JUNGLE,1,4,1,0.5,217,7.2,9902,331,34,16291,544,0.07,1,-576,3,-37,0,20042
0,DRX,SOLKA,MID,0,5,1,0.2,248,8.3,9422,315,19,14080,470,0.03,0.5,-797,-9,-623,-1,13504
0,DRX,BAO,ADC,1,3,0,0.3,235,7.8,10624,355,24,10859,363,0.03,0.5,-974,-18,-257,0,15353
0,DRX,Becca,SUPPORT,0,5,2,0.4,48,1.6,5999,200,103,5271,176,0.07,1,-867,15,-721,-1,16156
1,DRX,kingen,TOP,1,0,7,9.6,274,7,13078,335,37,18660,478,0.2,0.727,-629,-14,-71,0,36210
1,DRX,Pyosik,JUNGLE,3,2,6,4.5,306,7.8,14932,382,71,19124,490,0.23,0.818,67,9,348,1,29128
1,DRX,SOLKA,MID,3,0,8,13.2,362,9.3,16436,421,64,20966,537,0.28,1,784,14,-41,0,9789
1,DRX,BAO,ADC,4,0,2,7.2,377,9.7,17058,437,38,19086,489,0.15,0.545,-462,-15,-285,0,16393
1,DRX,Becca,SUPPORT,0,2,6,3,42,1.1,8196,210,110,2968,76,0.15,0.545,-561,10,33,0,15614
0,AF,Kiin,TOP,1,3,1,0.7,320,8.2,13295,340,38,20955,537,0.05,0.5,629,14,71,0,47099
0,AF,Dread,JUNGLE,0,3,3,1,275,7,12615,323,75,5481,140,0.08,0.75,-67,-9,-348,-1,22472
0,AF,Fly,MID,2,3,2,1.3,271,6.9,12238,313,39,20506,525,0.1,1,-784,-14,41,0,15536
0,AF,Bang,ADC,1,0,2,3.6,366,9.4,14791,379,48,12498,320,0.08,0.75,462,15,285,0,13170
0,AF,Lehends,SUPPORT,0,2,2,1,47,1.2,8533,219,125,10406,266,0.05,0.5,561,-10,-33,0,9317
0,BRO,Hoya,TOP,0,4,1,0.3,256,8.4,10401,340,31,17184,562,0.03,0.333,-557,-23,-883,-1,14607
0,BRO,UmTi,JUNGLE,0,1,3,3,221,7.2,9673,316,112,5154,169,0.1,1,-62,0,-290,0,25871
0,BRO,Lava,MID,2,2,0,1,243,7.9,10235,335,33,12179,398,0.07,0.667,-807,-1,-41,0,12544
0,BRO,Hena,ADC,1,1,1,2,353,11.5,13031,426,39,7067,231,0.07,0.667,563,9,402,0,7745
0,BRO,Delight,SUPPORT,0,1,3,3,49,1.6,6077,199,87,1297,42,0.1,1,228,12,401,0,5405
1,GEN,Rascal,TOP,2,0,3,6,341,11.1,15013,491,34,8241,269,0.16,0.556,557,23,883,1,25008
1,GEN,Clid,JUNGLE,0,1,2,2,201,6.6,9879,323,61,2979,97,0.07,0.222,62,0,290,0,28450
1,GEN,Bdd,MID,3,2,3,3,260,8.5,11950,391,17,10426,341,0.2,0.667,807,1,41,0,11566
1,GEN,Ruler,ADC,4,0,1,6,373,12.2,15395,503,79,8878,290,0.16,0.556,-563,-9,-402,0,8638
1,GEN,Life,SUPPORT,0,0,4,4.8,33,1.1,6981,228,79,4493,147,0.13,0.444,-228,-12,-401,0,7482
1,GEN,Rascal,TOP,6,2,7,6.5,261,9.4,12612,455,32,11596,418,0.47,0.619,-6,-10,-480,0,16800
1,GEN,Clid,JUNGLE,2,1,9,11,195,7,10732,387,72,8607,310,0.4,0.524,579,7,915,1,19118
1,GEN,Bdd,MID,6,0,11,20.4,289,10.4,14340,517,22,16290,587,0.61,0.81,2241,28,1490,2,7651
1,GEN,Ruler,ADC,7,1,9,16,282,10.2,14821,534,35,15267,550,0.58,0.762,663,2,973,1,9051
1,GEN,Life,SUPPORT,0,2,13,6.5,33,1.2,6716,242,62,3128,113,0.47,0.619,-168,-5,-343,0,8481
0,BRO,Hoya,TOP,2,5,0,0.4,219,7.9,9878,356,23,10260,370,0.07,0.333,6,10,480,0,17126
